,V1,V2
0,7.702761,-1.9564604
1,6.3694797,3.697718
2,7.8983564,1.4286478
3,6.8802915,2.8834682
4,5.8813477,2.2339008
5,7.1054845,-1.6854368
6,7.589548,1.5063125
7,3.6029058,3.030064
8,7.8810344,1.4455878
9,7.795461,1.4730046
10,7.8449802,1.4712874
11,7.135117,-1.6040106
12,3.3939316,1.8669895
13,5.6519737,4.420506
14,5.8996196,2.6790733
15,6.080126,2.7987838
16,7.7575917,1.4576143
17,5.0765033,3.4597461
18,7.718263,2.5733733
19,4.259349,2.5283456
20,6.820702,11.712797
21,5.6682353,2.638697
22,7.139685,9.1054125
23,2.7779028,2.7419238
24,2.6547377,2.91383
25,-0.81439525,6.991614
26,7.189311,-0.88290966
27,5.934521,2.123607
28,7.223724,-0.64527273
29,2.065968,3.2882216
30,4.3916044,3.0262308
31,6.779061,11.766473
32,7.1376953,-0.70338535
33,7.850015,1.4449245
34,5.443568,3.0881274
35,6.886844,-0.5738861
36,2.355894,2.9825814
37,3.3480222,2.6186793
38,6.9898586,-1.6641666
39,2.2642796,0.9189005
40,7.160943,-1.65081
41,5.2364154,3.314046
42,6.575552,9.756539
43,2.9534135,3.0274477
44,3.2736437,3.1691093
45,2.387156,2.153106
46,6.341066,-0.30363762
47,6.2975492,6.42958
48,3.712833,2.0858743
49,7.145582,-0.7767695
50,6.534243,2.2801256
51,6.0620594,11.804475
52,7.8998995,1.4139844
53,7.101904,-0.30372098
54,5.805181,11.837888
55,6.4669676,11.98966
56,6.5349245,3.3024895
57,7.312078,0.42477885
58,7.9719143,8.892285
59,4.8562193,2.9497776
60,4.946374,0.2142516
61,9.101733,11.11252
62,5.9811234,2.1282163
63,6.396375,6.5090837
64,7.371836,7.8791213
65,4.760995,12.542722
66,5.4721622,2.3696928
67,9.183474,11.102935
68,7.1801767,8.893064
69,7.835911,8.831556
70,6.0482607,12.49766
71,6.3164754,12.675608
72,6.4583173,12.297557
73,1.5389194,2.7562864
74,6.74573,11.473415
75,3.4317477,2.4985878
76,7.9427433,8.836866
77,9.162904,10.870526
78,5.107107,-0.037869588
79,7.4564424,8.828383
80,1.8812121,2.8458464
81,2.2909806,2.917403
82,9.414151,10.168292
83,4.4721274,0.9506517
84,6.105625,6.6657205
85,6.8454766,2.8902273
86,7.159508,9.2790365
87,6.4325924,11.118493
88,4.911684,12.265945
89,5.8755794,5.1336255
90,2.4345536,2.9509585
91,6.836056,12.831448
92,8.358388,8.832297
93,7.023517,11.625505
94,6.3827605,11.988419
95,5.810004,12.240598
96,8.515804,8.107091
97,5.9646025,12.190903
98,8.056378,8.050905
99,3.956385,3.015327
100,5.9531746,12.3101635
101,7.9144254,6.470341
102,4.1655746,1.6352881
103,3.1428485,2.7988038
104,8.612252,8.048677
105,2.0518463,2.947556
106,4.9977393,2.1668208
107,5.9066734,2.8700733
108,7.0854225,2.8610325
109,6.0015936,4.2142143
110,5.2591815,-0.11935841
111,4.8192286,12.323092
112,7.926509,6.3681216
113,7.513991,2.5677857
114,6.7320585,2.4689603
115,5.358741,3.4010594
116,7.5005507,-1.7167891
117,4.821477,12.424547
118,5.3207827,2.7380135
119,6.6108236,2.2578726
120,5.2967114,2.7973855
